,realtime_start,date,value
550,2001-06-15,1996-11-01,141352.0
551,2002-02-20,1996-11-01,141441.0
552,2002-05-03,1996-11-01,141444.0
553,2003-04-30,1996-11-01,141968.0
554,2004-03-30,1996-11-01,141941.0
555,2005-03-31,1996-11-01,138677.0
556,2006-03-30,1996-11-01,139485.0
557,2011-04-29,1996-11-01,139471.0
558,2012-04-30,1996-11-01,139244.0
559,2013-05-31,1996-11-01,139250.0
560,2018-06-12,1996-11-01,139233.0
561,2001-06-15,1996-12-01,140955.0
562,2002-02-20,1996-12-01,141044.0
563,2002-05-03,1996-12-01,141110.0
564,2003-04-30,1996-12-01,141703.0
565,2004-03-30,1996-12-01,141809.0
566,2004-04-02,1996-12-01,141824.0
567,2005-03-31,1996-12-01,138722.0
568,2006-03-30,1996-12-01,139721.0
569,2011-04-29,1996-12-01,139695.0
570,2012-04-30,1996-12-01,139471.0
571,2018-06-12,1996-12-01,139529.0
572,2001-06-15,1997-01-01,142058.0
573,2002-02-20,1997-01-01,142147.0
574,2002-05-03,1997-01-01,142151.0
575,2003-04-30,1997-01-01,142595.0
576,2004-03-30,1997-01-01,142738.0
577,2004-04-02,1997-01-01,142752.0
578,2005-03-31,1997-01-01,139558.0
579,2006-03-30,1997-01-01,140378.0
580,2011-04-29,1997-01-01,140364.0
581,2012-04-30,1997-01-01,140228.0
582,2018-06-12,1997-01-01,140201.0
583,2001-06-15,1997-02-01,143029.0
584,2002-02-20,1997-02-01,143208.0
585,2002-05-03,1997-02-01,143300.0
586,2003-04-30,1997-02-01,143888.0
587,2004-03-30,1997-02-01,143889.0
588,2004-04-02,1997-02-01,143894.0
589,2005-03-31,1997-02-01,140569.0
590,2006-03-30,1997-02-01,141432.0
591,2011-04-29,1997-02-01,141418.0
592,2012-04-30,1997-02-01,141145.0
593,2018-06-12,1997-02-01,141153.0
594,2001-06-15,1997-03-01,143467.0
595,2002-02-20,1997-03-01,143556.0
596,2002-05-03,1997-03-01,143426.0
597,2003-04-30,1997-03-01,144199.0
598,2004-03-30,1997-03-01,144150.0
599,2004-04-02,1997-03-01,144148.0
600,2005-03-31,1997-03-01,140753.0
